region,dealer_code,Sub_Code,dealer_name,dealer_class,AM_name,All-in one target,Total GA,Mobile target,Total Mobile ga,MP Principal GA,MP Shareline GA,HP60 & above GA,HP Below 60 GA,HVP Target_T2,HVP Target_T1,HVP99 above,MNP_count,Broadband target,Total BB GA,Home Fibre GA,WBB GA,Fibre submission,NGBB GA,Contracted 5G WBB,Mobile device sales target,Mobile device sales,Device GA target,Device GA,Outbound Check-IN no. Days,Outbound_Program Target,In-Store Mobile GA,Outbound GA mobile,Outbound GA Broadband
NORTHERN,11131.00002,,FIVE ABC SDN BHD,MEP,AM5,100,29,80,29,29,29,29,29,30,15,29,29,30,29,29,29,29,29,29,105,29,30,29,29,30,29,29,29
NORTHERN,11132.00002,,D TH ABC SDN BHD,MEP,AM5,100,30,80,30,30,30,30,30,30,15,30,30,30,30,30,30,30,30,30,105,30,30,30,30,30,30,30,30
NORTHERN,11132.00007,,D TH ABC SDN BHD,MEP,AM5,100,31,80,31,31,31,31,31,30,15,31,31,30,31,31,31,31,31,31,105,31,30,31,31,30,31,31,31
NORTHERN,11132.00001,,D TH ABC SDN BHD,MEP,AM5,100,32,80,32,32,32,32,32,30,15,32,32,30,32,32,32,32,32,32,105,32,30,32,32,30,32,32,32
NORTHERN,11132.00011,,D TH ABC SDN BHD,MEP,AM5,100,33,80,33,33,33,33,33,30,15,33,33,30,33,33,33,33,33,33,105,33,30,33,33,30,33,33,33
NORTHERN,11133.00004,,NORTH ABC SDN BHD,MEP,AM1,100,34,80,34,34,34,34,34,30,15,34,34,30,34,34,34,34,34,34,105,34,30,34,34,30,34,34,34
NORTHERN,11133.00005,,NORTH ABC SDN BHD,MEP,AM1,100,35,80,35,35,35,35,35,30,15,35,35,30,35,35,35,35,35,35,105,35,30,35,35,30,35,35,35
NORTHERN,11133.00006,,NORTH ABC SDN BHD,MEP,AM1,100,36,80,36,36,36,36,36,30,15,36,36,30,36,36,36,36,36,36,105,36,30,36,36,30,36,36,36
NORTHERN,11134.00001,,TRU ABC SDN BHD,MEP,AM4,100,37,80,37,37,37,37,37,30,15,37,37,30,37,37,37,37,37,37,105,37,30,37,37,30,37,37,37
NORTHERN,11134.00007,,TRU ABC SDN BHD,MEP,AM4,100,38,80,38,38,38,38,38,30,15,38,38,30,38,38,38,38,38,38,105,38,30,38,38,30,38,38,38
NORTHERN,11135.00001,,JE ABC MUNICATION,MEP LITE,AM5,60,39,50,39,39,39,39,39,30,15,39,39,30,39,39,39,39,39,39,105,39,30,39,39,30,39,39,39
NORTHERN,11136.00001,,S ABC SDN BHD,MEP LITE,AM1,60,40,50,40,40,40,40,40,30,15,40,40,30,40,40,40,40,40,40,105,40,30,40,40,30,40,40,40
NORTHERN,11136.00005,,S ABC SDN BHD,MEP LITE,AM1,60,41,50,41,41,41,41,41,30,15,41,41,30,41,41,41,41,41,41,105,41,30,41,41,30,41,41,41
NORTHERN,11137.00003,,NH ABC TELECOM,MEP LITE,AM3,60,42,50,42,42,42,42,42,30,15,42,42,30,42,42,42,42,42,42,105,42,30,42,42,30,42,42,42
NORTHERN,11138.00001,,M ABC ELE SDN BHD,MEP LITE,AM2,60,43,50,43,43,43,43,43,30,15,43,43,30,43,43,43,43,43,43,105,43,30,43,43,30,43,43,43
NORTHERN,11138.00002,,M ABC ELE SDN BHD,MEP LITE,AM2,60,44,50,44,44,44,44,44,30,15,44,44,30,44,44,44,44,44,44,105,44,30,44,44,30,44,44,44
NORTHERN,11139.00001,,EH ABC SDN BHD,MEP LITE,AM3,60,45,50,45,45,45,45,45,30,15,45,45,30,45,45,45,45,45,45,105,45,30,45,45,30,45,45,45
NORTHERN,11139.00002,,EH ABC SDN BHD,MEP LITE,AM3,60,46,50,46,46,46,46,46,30,15,46,46,30,46,46,46,46,46,46,105,46,30,46,46,30,46,46,46
NORTHERN,11140.00001,,J ABC (M) SDN BHD,MEP LITE,AM3,60,47,50,47,47,47,47,47,30,15,47,47,30,47,47,47,47,47,47,105,47,30,47,47,30,47,47,47
NORTHERN,11141.00002,,JIT ABC TELE,MEP LITE,AM1,60,48,50,48,48,48,48,48,30,15,48,48,30,48,48,48,48,48,48,105,48,30,48,48,30,48,48,48
NORTHERN,11142.00001,,XIA ABC ENTERPRISE,MEP LITE,AM2,60,49,50,49,49,49,49,49,30,15,49,49,30,49,49,49,49,49,49,105,49,30,49,49,30,49,49,49
NORTHERN,11142.00006,,XIA ABC ENTERPRISE,MEP LITE,AM2,60,50,50,50,50,50,50,50,30,15,50,50,30,50,50,50,50,50,50,105,50,30,50,50,30,50,50,50
NORTHERN,11143.00001,,PREM ABC SDN BHD,MEP LITE,AM2,60,51,50,51,51,51,51,51,30,15,51,51,30,51,51,51,51,51,51,105,51,30,51,51,30,51,51,51
NORTHERN,11144.00001,,Y ABC COMM,MEP LITE,AM1,60,52,50,52,52,52,52,52,30,15,52,52,30,52,52,52,52,52,52,105,52,30,52,52,30,52,52,52
NORTHERN,11145.00001,,IDE ABC ENTERPRISE,MEP LITE,AM3,60,53,50,53,53,53,53,53,30,15,53,53,30,53,53,53,53,53,53,105,53,30,53,53,30,53,53,53
NORTHERN,11146.00001,,MY ABC HOP,MEP LITE,AM4,60,54,50,54,54,54,54,54,30,15,54,54,30,54,54,54,54,54,54,105,54,30,54,54,30,54,54,54
NORTHERN,11147.00001,,D TH ABC SDN BHD,MEP LITE,AM5,60,55,50,55,55,55,55,55,30,15,55,55,30,55,55,55,55,55,55,105,55,30,55,55,30,55,55,55
NORTHERN,11148.00001,,CT ABC SDN. BHD.,MEP LITE,AM5,60,56,50,56,56,56,56,56,30,15,56,56,30,56,56,56,56,56,56,105,56,30,56,56,30,56,56,56
Northern,11149.00002,,JW ABC SDN. BHD.,MEP LITE,AM3,60,57,50,57,57,57,57,57,30,15,57,57,30,57,57,57,57,57,57,105,57,30,57,57,30,57,57,57
Northern,11150.00002,,RI ABC  ENTERPRISE,MEP LITE,AM4,60,58,50,58,58,58,58,58,30,15,58,58,30,58,58,58,58,58,58,105,58,30,58,58,30,58,58,58
NORTHERN,11150.00003,,RI ABC  ENTERPRISE,MEP LITE,AM4,60,59,50,59,59,59,59,59,30,15,59,59,30,59,59,59,59,59,59,105,59,30,59,59,30,59,59,59
NORTHERN,11151.00002,,PRIM  ABC TIONS,MEP LITE,AM5,60,60,50,60,60,60,60,60,30,15,60,60,30,60,60,60,60,60,60,105,60,30,60,60,30,60,60,60
NORTHERN,11151.00003,,PRIM  ABC TIONS,MEP LITE,AM5,60,61,50,61,61,61,61,61,30,15,61,61,30,61,61,61,61,61,61,105,61,30,61,61,30,61,61,61
#UPDATE_DATE:2026-04-03
